Physics,Age,Ethinicity,Sex,ID,Maths,DataStructures
84.0,18,1,1,1,88.0,82.0
81.0,19,2,1,2,85.0,79.0
41.0,19,2,1,3,45.0,39.0
78.0,18,1,1,4,82.0,76.0
78.0,18,1,2,5,82.0,76.0
91.0,20,1,1,6,95.0,89.0
91.0,18,1,1,7,95.0,89.0
61.0,19,1,1,8,65.0,59.0
84.0,18,3,1,9,88.0,82.0
84.0,19,3,2,10,88.0,82.0
49.0,20,1,1,11,53.0,47.0
49.0,20,1,1,12,53.0,47.0
62.0,19,1,1,13,66.0,60.0
84.0,18,1,1,14,88.0,82.0
84.0,21,1,2,15,88.0,82.0
78.0,20,1,1,16,82.0,76.0
71.0,18,1,1,17,31.0,25.0
91.0,18,2,1,18,95.0,89.0
87.0,18,3,1,19,91.0,85.0
62.0,18,1,2,20,66.0,60.0
78.0,18,3,1,21,82.0,76.0
62.0,18,2,1,22,66.0,60.0
71.0,18,1,1,23,75.0,69.0
61.0,19,3,1,24,65.0,59.0
87.0,20,2,2,25,91.0,85.0
87.0,18,1,1,26,91.0,85.0
49.0,20,3,1,27,53.0,47.0
87.0,20,2,1,28,91.0,85.0
84.0,21,3,1,29,88.0,82.0
81.0,19,1,2,30,85.0,79.0
71.0,20,1,1,31,75.0,69.0
62.0,21,2,1,32,66.0,60.0
41.0,19,2,1,33,45.0,39.0
94.0,18,2,1,34,66.0,68.0
49.0,20,3,2,35,53.0,47.0
61.0,19,1,1,36,65.0,59.0
49.0,18,1,1,37,53.0,47.0
71.0,20,1,1,38,75.0,69.0
41.0,18,1,1,39,45.0,39.0
62.0,19,1,2,40,66.0,60.0
71.0,20,2,1,41,75.0,69.0
91.0,20,4,1,42,95.0,89.0
61.0,21,1,1,43,65.0,59.0
81.0,18,2,1,44,85.0,79.0
78.0,20,2,2,45,82.0,76.0
61.0,21,4,1,46,65.0,59.0
81.0,21,1,1,47,85.0,79.0
78.0,18,3,1,48,82.0,76.0
61.0,18,3,1,49,65.0,59.0
62.0,19,1,2,50,66.0,60.0
78.0,18,2,1,51,82.0,76.0
84.0,19,1,1,52,88.0,82.0
41.0,19,4,1,53,74.0,39.0
91.0,20,1,1,54,95.0,89.0
84.0,21,1,2,55,88.0,82.0
87.0,18,3,1,56,91.0,85.0
49.0,20,2,1,57,53.0,47.0
71.0,20,1,1,58,75.0,69.0
71.0,20,1,1,59,75.0,69.0
91.0,18,3,2,60,95.0,89.0
84.0,19,1,1,61,88.0,82.0
49.0,18,4,1,62,53.0,47.0
78.0,20,1,1,63,82.0,76.0
78.0,18,1,1,64,82.0,76.0
81.0,21,3,2,65,85.0,79.0
71.0,21,1,1,66,45.0,39.0
71.0,20,3,1,67,75.0,69.0
62.0,21,3,1,68,66.0,60.0
41.0,19,2,1,69,45.0,39.0
71.0,20,1,2,70,75.0,69.0
49.0,20,1,1,71,53.0,47.0
61.0,21,1,1,72,65.0,59.0
49.0,20,1,1,73,53.0,47.0
81.0,19,2,1,74,85.0,79.0
78.0,18,3,2,75,82.0,76.0
91.0,20,3,1,76,95.0,89.0
62.0,19,1,1,77,66.0,60.0
49.0,20,1,1,78,53.0,47.0
61.0,18,1,1,79,65.0,59.0
81.0,19,2,2,80,85.0,79.0
84.0,19,2,1,81,88.0,82.0
91.0,18,1,1,82,95.0,89.0
49.0,20,2,1,83,53.0,47.0
41.0,19,3,1,84,45.0,39.0
41.0,21,1,2,85,45.0,39.0
81.0,18,1,1,86,85.0,79.0
90.0,19,2,1,87,45.0,68.0
81.0,21,2,1,88,85.0,79.0
41.0,18,1,1,89,45.0,39.0
41.0,21,4,2,90,45.0,39.0
71.0,19,3,1,91,85.0,79.0
84.0,19,1,1,92,88.0,82.0
81.0,19,1,1,93,85.0,79.0
87.0,18,1,1,94,91.0,85.0
61.0,19,4,2,95,65.0,59.0
71.0,18,1,1,96,75.0,69.0
84.0,19,1,1,97,88.0,82.0
91.0,18,1,1,98,95.0,89.0
61.0,21,2,1,99,65.0,59.0
61.0,19,3,2,100,65.0,59.0
41.0,18,3,1,101,45.0,39.0
49.0,20,4,1,102,53.0,47.0
91.0,18,2,1,103,95.0,89.0
62.0,21,1,1,104,66.0,60.0
78.0,18,2,2,105,82.0,76.0
61.0,19,1,1,106,65.0,59.0
71.0,21,2,1,107,45.0,39.0
81.0,21,2,1,108,85.0,79.0
71.0,19,1,1,109,45.0,39.0
81.0,21,1,2,110,85.0,79.0
61.0,21,2,1,111,65.0,59.0
81.0,18,1,1,112,85.0,79.0
84.0,19,3,1,113,88.0,82.0
41.0,19,1,1,114,45.0,39.0
91.0,20,2,2,115,95.0,89.0
84.0,21,1,1,116,88.0,82.0
71.0,18,2,1,117,75.0,69.0
49.0,20,1,1,118,53.0,47.0
78.0,20,2,1,119,82.0,76.0
81.0,21,1,2,120,85.0,79.0
87.0,18,2,1,121,91.0,85.0
71.0,18,1,1,122,88.0,82.0
81.0,21,1,1,123,85.0,79.0
41.0,19,2,1,124,45.0,39.0
49.0,18,2,2,125,53.0,47.0
91.0,20,1,1,126,95.0,89.0
41.0,21,1,1,127,45.0,39.0
71.0,20,2,1,128,75.0,69.0
62.0,21,1,1,129,66.0,60.0
71.0,18,2,2,130,75.0,69.0
62.0,18,3,1,131,66.0,60.0
71.0,20,3,1,132,75.0,69.0
49.0,18,2,1,133,53.0,47.0
81.0,18,1,1,134,85.0,79.0
81.0,18,3,2,135,85.0,79.0
61.0,21,2,1,136,65.0,59.0
61.0,21,3,1,137,65.0,59.0
87.0,20,1,1,138,91.0,85.0
81.0,21,2,1,139,85.0,79.0
88.0,21,1,2,140,45.0,68.0
78.0,18,1,1,141,82.0,76.0
91.0,20,3,1,142,95.0,89.0
81.0,18,3,1,143,85.0,79.0
62.0,18,1,1,144,66.0,60.0
84.0,21,1,2,145,88.0,82.0
78.0,20,3,1,146,82.0,76.0
49.0,18,2,1,147,53.0,47.0
84.0,19,3,1,148,88.0,82.0
41.0,18,1,1,149,45.0,39.0
61.0,21,1,2,150,65.0,59.0
91.0,18,2,1,151,95.0,89.0
27.0,18,1,1,152,31.0,25.0
62.0,18,2,1,153,66.0,60.0
41.0,19,1,1,154,45.0,39.0
49.0,18,1,2,155,53.0,47.0
41.0,19,1,1,156,45.0,39.0
49.0,18,2,1,157,53.0,47.0
87.0,18,2,1,158,91.0,85.0
81.0,19,2,1,159,85.0,79.0
49.0,18,2,2,160,53.0,47.0
84.0,18,1,1,161,88.0,82.0
81.0,18,1,1,162,88.0,68.0
78.0,18,3,1,163,82.0,76.0
81.0,19,1,1,164,85.0,79.0
41.0,18,2,2,165,45.0,39.0
78.0,20,3,1,166,82.0,76.0
87.0,18,2,1,167,91.0,85.0
61.0,19,1,1,168,65.0,59.0
61.0,19,1,1,169,65.0,59.0
71.0,18,3,2,170,75.0,69.0
84.0,18,2,1,171,88.0,82.0
61.0,18,1,1,172,65.0,59.0
49.0,20,1,1,173,53.0,47.0
84.0,19,1,1,174,88.0,82.0
41.0,19,3,2,175,45.0,39.0
91.0,18,1,1,176,95.0,89.0
71.0,18,4,1,177,75.0,69.0
49.0,20,3,1,178,53.0,47.0
49.0,18,3,1,179,53.0,47.0
91.0,18,2,2,180,95.0,89.0
91.0,20,1,1,181,95.0,89.0
81.0,19,1,1,182,85.0,79.0
84.0,19,4,1,183,88.0,82.0
84.0,19,3,1,184,88.0,82.0
91.0,20,1,2,185,95.0,89.0
71.0,20,2,1,186,75.0,69.0
71.0,20,3,1,187,75.0,69.0
91.0,20,2,1,188,95.0,89.0
87.0,20,2,1,189,91.0,85.0
78.0,18,1,2,190,82.0,76.0
81.0,19,1,1,191,85.0,79.0
87.0,18,4,1,192,91.0,85.0
81.0,19,2,1,193,85.0,79.0
81.0,21,3,1,194,85.0,79.0
87.0,20,4,2,195,91.0,85.0
87.0,18,2,1,196,91.0,85.0
81.0,21,1,1,197,85.0,79.0
91.0,20,1,1,198,95.0,89.0
84.0,21,2,1,199,88.0,82.0
49.0,18,1,2,200,53.0,47.0
62.0,18,3,1,201,66.0,60.0
87.0,20,1,1,202,91.0,85.0
